"","CD_U2A","LB_U2A","CD_STR","CD_DEPT","LB_DEPT","CD_REGION","LB_REGION","VILLE","DEPT","coord.lat","coord.lng"
"81","U0604","Centre de distribution Villeneuve-Loubet",172,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Villeneuve-Loubet","Alpes-Maritimes",43.6578919,7.122337
"82","U0605","Centre distribution de Valbonne",2313,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Valbonne","Alpes-Maritimes",43.64152,7.009186
"83","U0606","Centre de distribution de Beausoleil",171,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Beausoleil","Alpes-Maritimes",43.741767,7.423019
"84","U0607","Centre distribution de Cannes",173,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Cannes","Alpes-Maritimes",43.552847,7.017369
"85","U0608","Centre Distribution Antibes",170,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Antibes","Alpes-Maritimes",43.580418,7.125102
"86","U0609","Centre de distribution de Biot",2313,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Biot","Alpes-Maritimes",43.626851,7.09808
"87","U0610","Samu social de Biot",2313,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Biot","Alpes-Maritimes",43.626851,7.09808
"88","U0611","Centre distribution de Grasse",174,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Grasse","Alpes-Maritimes",43.660153,6.926492
"89","U0612","Centre distribution Villefranche sur mer",176,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Villefranche%20sur%20mer","Alpes-Maritimes",43.703976,7.311109
"90","U0613","Samu social de St Laurent du Var",2122,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","St%20Laurent%20Var","Alpes-Maritimes",43.673417,7.189811
"91","U0614","Centre de distribution de Nice",176,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Nice","Alpes-Maritimes",43.7101728,7.2619532
"92","U0615","Epicerie Sociale de Nice",176,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Nice","Alpes-Maritimes",43.7101728,7.2619532
"93","U0616","Maraude de Menton",175,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Menton","Alpes-Maritimes",43.774481,7.49754
"94","U0617","Centre de distribution de Menton",175,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Menton","Alpes-Maritimes",43.774481,7.49754
"95","U0618","Centre de distribution de Carros",2238,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Carros","Alpes-Maritimes",43.792389,7.18712
"96","U0619","Maraude de Carros",2238,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Carros","Alpes-Maritimes",43.792389,7.18712
"97","U07","DD Ardeche",11,7,"DD DE L ARDECHE","82","RHONE-ALPES","Ardeche","Ard%C3%A8che",44.5398583,4.3690184
"98","U0701","Centre de distribution d'Annonay",180,7,"DD DE L ARDECHE","82","RHONE-ALPES","Annonay","Ard%C3%A8che",45.239403,4.667349
"99","U0702","Centre distribution de Lamastre",3840,7,"DD DE L ARDECHE","82","RHONE-ALPES","Lamastre","Ard%C3%A8che",44.985132,4.579136
"100","U0703","Centre de distribution de Vernoux",3840,7,"DD DE L ARDECHE","82","RHONE-ALPES","Vernoux","Ard%C3%A8che",44.895927,4.646171
"101","U0704","Centre distribution de Vals les Bains",195,7,"DD DE L ARDECHE","82","RHONE-ALPES","Vals%20les%20Bains","Ard%C3%A8che",44.66515,4.36487
